NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_DEPENDENCIA;NO_ENTIDADE;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_CT;QT_MAT_CURSO_TEC_CT;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_TEC_SUBS;QT_CURSO_TEC_EJA;QT_MAT_TEC_EJA
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Controle e processos industriais;3;Eletroeletrônica;3037;1;17;0;0;0;0;1;10;1;7;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Controle e processos industriais;3;Eletromecânica;3038;1;22;0;0;0;0;1;1;1;21;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Controle e processos industriais;3;Eletrotécnica;3040;1;36;0;0;0;0;1;2;1;34;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Gestão e negócios;4;Logística;4056;1;34;0;0;0;0;1;8;1;26;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Informação e comunicação;6;Informática;6073;1;30;0;0;0;0;1;21;1;9;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Recursos naturais;12;Mineração;12181;1;25;0;0;0;0;1;1;1;24;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Segurança;13;Segurança do Trabalho;13182;1;44;0;0;0;0;1;20;1;24;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;SENAC ARIQUEMES;11049758;Gestão e negócios;4;Outros - Eixo Gestão e Negócios;4999;1;9;0;0;0;0;1;1;1;8;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;2;0;1;IFRO - CAMPUS ARIQUEMES;11108800;Informação e comunicação;6;Informática;6073;1;101;1;101;0;0;0;0;0;0;0;0
2023;Norte;1;Rondônia;RO;11;Ariquemes;1100023;2;0;1;IFRO - CAMPUS ARIQUEMES;11108800;Informação e comunicação;6;Manutenção e Suporte em Informática;6075;1;61;1;61;0;0;0;0;0;0;0;0
